Stock_code,Sector,Name,volatility_mean,volatility_max,volatility_5d,downside_deviation,var_95,max_drawdown,mean_return,std_return,return_skew,return_kurtosis,return_consistency,sharpe_ratio,rsi_mean,bb_width_mean,macd_volatility,avg_volume,volume_volatility,amihud_illiquidity,trading_frequency,momentum_20d,momentum_60d,trend_strength,current_price
ABSA,Banking,ABSA Bank Kenya Plc,0.012240298559899429,0.03250692870972683,0.010668756853954046,0.007478283606499547,-0.01785254071688088,-0.2362204724409449,0.0007426386293753021,0.01363777278174811,-1.5090056469187043,13.848163674169975,18.363939614649542,0.0471219630175369,54.633613281995764,2.2964150948035837,0.17601035119966355,457918.016194332,1206788.5556105915,3.4649278272858364e-09,1.0,0.16828478964401294,0.2846975088967971,0.1839300355276266,18.05
BAMB,Construction and Allied,Bamburi Cement Ltd,0.023726250130270198,0.08932888757172754,0.02107179580841077,0.013240872246666386,-0.030419739441375434,-0.5145631067961165,0.0009007750097960068,0.02800734241164681,1.115420465484602,24.83246772552654,31.09249146325709,0.028591609841705105,50.639956175824324,3.8678921084070517,1.282149741514605,233655.66735112938,4414206.000472162,1.904102852019652e-08,0.9858299595141701,-0.140625,-0.06382978723404253,-0.08848591986947928,55.0
BAT,Manufacturing and Allied,British American Tobacco Kenya Plc,0.011709038032617414,0.02727174618529777,0.010182373431618848,0.006907927099969939,-0.01589776393136168,-0.3482318271119843,0.00012557438169524576,0.013762137756787876,-0.16061497498728697,14.04335701774826,109.59342671377244,0.0018583145991835674,48.75122862487356,1.7524099584267356,5.776190906150599,19173.61111111111,56489.447012140015,1.622817488987207e-09,0.9473684210526315,0.07582260371959948,0.09461426491994174,0.0685612788632132,376.0
BKG,Banking,BK Group Plc,0.028116291029527292,0.057793297950300214,0.024537111573388948,0.01660756022692453,-0.041967322213852,-0.39249999999999996,0.0019225471496631653,0.038371699996179495,0.22911162480692943,0.9916897743596782,19.958781248628508,0.047497169661362706,51.52490726792895,3.561992077610231,0.5760504161119913,86221.11486486487,545481.1244213117,0.0,0.5991902834008097,-0.03840472673559836,-0.028358208955224007,-0.03197026022295333,32.55
BOC,Manufacturing and Allied,BOC Kenya Plc,0.02531587660390006,0.05462942706670512,0.019873766152624272,0.015211953136570935,-0.034997988881926664,-0.30294906166219837,0.001757578565633868,0.0427062826931928,0.22834915949621243,0.6660546213503062,24.298362018288863,0.03881345922005834,45.100880076462616,3.670977761931891,1.4502469249918508,10246.268656716418,75668.26733712731,0.0,0.4068825910931174,-0.002808988764044895,0.12341772151898733,0.055134492495104645,88.75
BRIT,Insurance,Britam Holdings Plc,0.02350218585423537,0.0463951946496437,0.02281925125339505,0.013340926881383872,-0.03525113858153059,-0.5167064439140812,0.00010881658888944157,0.02452947152748082,0.27555785953316453,1.5698002374346127,225.4201242274787,0.0003594284060959626,48.74046539720852,2.9434629794137006,0.09065703575484899,284283.3839918946,5581116.829045947,8.629419503264745e-08,0.9989878542510121,-0.006849315068493178,-0.02684563758389269,-0.004006868918076753,5.8
CABL,Construction and Allied,East African Cables Ltd,0.03375551390022645,0.0554984564931933,0.03281317131112644,0.0196286781743167,-0.053223322780407006,-0.5437500000000001,0.0003192520780891647,0.0342001199812293,0.09922382113239879,0.5405609684594057,107.12572169727679,0.006410856966829803,49.299997881947164,4.045864014277158,0.021962329176626265,19543.48268839104,32926.37778461972,1.3217442794907442e-06,0.9939271255060729,-0.018181818181818188,0.10204081632653073,0.03151862463882335,1.08
CARB,Manufacturing and Allied,Carbacid Investments Plc,0.021576932713882748,0.044205053859571616,0.019843415277238537,0.012372497203800605,-0.031075809830376205,-0.3049792531120332,0.0008202078125180536,0.02292154817730213,0.17902568165674715,2.81842026233828,27.946021767740024,0.03142055692770253,51.777816154927955,3.0015461979550837,0.29325372481253836,46457.42067553736,280001.09764257213,4.5179362067407425e-08,0.9888663967611336,0.1324324324324324,-0.07912087912087917,0.01760777170604687,20.95
CGEN,Automobiles and Accessories,Car and General (K) Ltd,0.0354782109339048,0.08239662227788913,0.030078262808405257,0.021094885464568728,-0.05654839326480576,-0.7519736842105263,0.0008828369097124322,0.04919687392029904,0.12820974293791187,-0.1327560973735391,55.72588527561164,0.01591233031166629,48.04660559866247,5.987933564915192,1.7864986701608994,1480.7355516637479,5138.128557368876,0.0,0.5779352226720648,0.08076009501187653,-0.10784313725490191,0.06345681897831745,22.75
CIC,Insurance,CIC Insurance Group Ltd,0.025695019622704134,0.053972363653721246,0.024087409273497846,0.014594473607800614,-0.03995682471695636,-0.504424778761062,0.0003640412346890763,0.026326090432004474,0.24819118090966577,1.427572002087885,72.316212263339,0.01002964091337766,49.882400182207064,3.287739982641578,0.04364217531853806,125437.24696356275,348957.86356867675,1.024610992092305e-07,1.0,0.03864734299516903,0.05392156862745101,0.005769530640615791,2.15
